"File","SHA256","Lines","Static test declarations","Pattern counts","Review status"
"playwright.config.ts","ec6a41cfbdc564372b9695597c3bc3928ac93913b85070882fbc02c0cfbf66e2","531","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright.sso.config.ts","a5045dc1a876f3945983703f4dcfec20e6776acba87673e1785547536ab02859","70","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/browser-helper-tests.config.ts","3dff554dfe0c95ae7e4f418a53123f4dd171eb7e7cc8bf5a589f0e97c2b650d5","22","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/browser-tests/gridEditors.spec.ts","17decf6d62e7f246b47a634af7d1a5e7364894f66288cec9119da10d7fb9257d","65","1","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/browser-tests/responseWaits.spec.ts","472d00dcf68abc1e8f082f53f45c427e2755f098a6799721fe7976f427191587","73","1","response-wait: 1; listener-after-action-candidate: 1","Static scan complete; matched patterns require contextual review"
"playwright/browser-tests/serverLoad.spec.ts","8af202ae2e8ce772d3b30065a24ff2d12f3d1eb54afa317773c18f17af8052ff","99","1","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/browser-tests/taskActions.spec.ts","670a1d09382cea9f562c2f8ca7e24148b26fa871c27dfd49c282efeb2223a0a9","66","1","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/KnowledgeCenter.constant.ts","c63a7d28df011768ba6c50eb6c2aff9265fb48046016eb2b39a98e1ba4f9abe5","54","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/advancedSearch.interface.ts","9dcdcaafb70d7ec4822546c8d2420886791cb00253ce4fc4dfbef23ba5986a05","20","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/advancedSearch.ts","c5d751903332a6b13cc679a58fdba296f36e8c85283ca416b7555ddb89a03bed","67","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/alert.interface.ts","1d12482a1d13b96e05785cb5129fb35f9d3cbafb745551792f942126db27ef3a","84","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/alert.ts","f946e5e0be3e22e70647a2ff497346b4001c2de6d46f7e63c2a4b1442718a049","81","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/bulkImportExport.ts","6067dcba32a5a7aa8b7b16157e5f205bb776dacc8ee6e804f4a80d99064b9697","34","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/common.ts","30cf146331181beb64854dafe300f50036a017aab877a4803ca3ef7f04207212","86","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/conditionalPermissions.ts","cb78f656a489e8b8f0a84e6e5a61e6b9800ba1b2a2e3c403f338239f812a1cd6","175","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/config.ts","f918dcf000be1f1217dcb0fbb75b145fd1011604c3776ad50ea2c541208bf8e6","34","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/contianer.ts","f67c8b5d0149f04de7cbfee3fb20aa0cf350fd9939084a4a8c9847d22a0793e7","23","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/customProperty.ts","90668b8cb2a66907bcf177c5e605dd1bffb33fbe4089f3dee53623197fd2c9ef","233","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/customPropertyAdvancedSearch.ts","bb6c05f24243e90d5e2fc3a1e95328ecb046038772cde6fab0a48901b2034bc3","76","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/customizeDetail.ts","e34cf7cee74a5a7a1a9c794930ed834a51caa2eaf45f25895a06019900aa8fca","256","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/dataContracts.ts","19b1d98edaac6f6ef43d374f3c2007ffec74c4527ce9308710a544c0a662534d","935","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/dataInsight.interface.ts","cb3c265463ae79fe520f6e0603c3de603339a55d053753a0c5d79f88c59ea8bb","19","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/dataInsight.ts","0bd88b29f199311192a6fd577df6d2c2f294dae9cba10161ec709b84c13464ff","27","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/dataQuality.ts","f58469818160e2d0f99d85f8ae1336216922438c73bf3a1164e366a84a1c0ebb","24","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/dataQualityPermissions.ts","aa4d069f2c915e0d8bd3cdd340492a2db82b871b08998874ad4bb49a31b1eafb","493","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/delete.ts","08139b4f3ed1f04133626ca94faf45b177c23f8161604d4eed9b05b2c8179def","76","0","","Static scan complete; no matched patterns (runtime unverified)"
"playwright/constant/domain.ts","da781068800b201c141b8088297aa890ea06238284886dba61e695da13795c9d","124","0","","Static scan complete; no matched patterns (runtime unverified)"
